x,y,z,q1,q2,q3,q4,q5,q6,dx,dy,dz,dq1,dq2,dq3,dq4,dq5,dq6
-0.3242890517805639,0.26179571084527287,1.32203161333274,-0.09257733900675481,-1.2219533038496453,-0.15381848741764734,-1.4947374825891515,0.8387745955097416,0.8772528744242584,0.08646587603515207,0.020370691980406586,0.057114575054771466,-0.09825998707334156,-0.04569644356217739,0.03514785978975586,0.10244783391903045,0.05561673875095452,0.006478705501671289
-0.22451138790733025,0.2837267536240708,1.3866424565293434,-0.20505064159783865,-1.274083680385305,-0.11355284356871558,-1.3772237733698225,0.9023114310855467,0.884442762820306,0.011761841576652249,-0.002222771172107174,0.018682702150808694,-0.010456100957171616,0.01682857942002247,-0.01576180697398026,0.06456590995697131,-0.07098168937304994,-0.01341495877447807
-0.21196946618584642,0.28106404492183296,1.4074330750195014,-0.2159697671781187,-1.2543365833924407,-0.13198081148259502,-1.3044079606924692,0.8204446478605881,0.8690288662730679,-0.1545655759241478,0.05280160478621998,-0.051282494106066334,-0.07699241586591285,-0.07827251989328321,-0.0741485595297611,0.006586330871540147,-0.047669937060931145,-0.07578860103312723
-0.38781924537348106,0.3433741469759962,1.3459213124189626,-0.30409768789194397,-1.344181063082311,-0.21668893497613306,-1.2974778336450152,0.7666660225233746,0.7823932942410783,0.19292377616267364,-0.021974760817971728,0.07142617674201612,-0.11195965385333206,0.10899072655368247,0.05900361954715569,0.051549207269937725,-0.09646861955357355,0.017632497192001106
-0.16508986606537307,0.313707322256961,1.4260567559105628,-0.431474429131923,-1.2185202155500154,-0.14834224913272157,-1.2384755082110688,0.6566549721376419,0.8033881655608104,-0.15136052096659064,0.08043939051844567,-0.08757182190752988,-0.019762456884019508,-0.09152514598367079,-0.04485995582208693,-0.08015262158634906,0.03467833597552161,0.0037755208674639107
-0.3387525122898922,0.4059461490339857,1.3225133137787644,-0.4529607903664908,-1.3245596546676177,-0.20040314600264755,-1.3308090896677427,0.6973685116349229,0.8074621083084952,0.054413880867922315,0.02005774327463633,-0.045150078475519884,-0.05598068696503561,0.07780689800727658,0.01188496521745977,-0.07141160588062268,-0.1069732398165979,0.08437271775887845
-0.2745438833132189,0.4272637042261221,1.2714731598074447,-0.5169351668780697,-1.2343885219574404,-0.18625999492627715,-1.411677668419665,0.574428392131881,0.9040532491547326,0.05913143018791184,-0.05808648126054711,0.05101928197856287,0.09708866638186875,0.005418390937015571,0.056425537911103885,0.034031857601821036,0.06335660650809638,0.07689918314559951
-0.20649693306711797,0.36168465134751393,1.3289766425673721,-0.4051684246664769,-1.2291008536433348,-0.12181584670248369,-1.3720073329480056,0.6481605358384424,0.9912027491931285,0.07560178497317371,-0.02663516995807813,0.030451360048054044,-0.03721289780439274,-0.00801811302361033,0.11340398184852957,-0.05610404899050847,0.04350063182706476,-0.025347922524892152
-0.12066177009284287,0.3311677239289672,1.3629203080591121,-0.44886844093300193,-1.238272518349347,0.007445879016346172,-1.436668888643414,0.6972027687289949,0.9614173627030961,0.11370386446441781,-0.03989216004764856,0.021942695874694662,0.011086523181612407,0.030880667391996575,0.04571513341376569,0.055744816955937804,0.016180942335015658,0.09281843460946948
0.008784608274458781,0.28587561439177706,1.386424737377459,-0.4356924974712054,-1.202826236826336,0.058617381759278865,-1.3722022355269878,0.7153202862549127,1.0680306663156423,-0.1471499867428582,0.060430156790641176,-0.08555195691638362,0.08564893891512948,-0.049950069268796415,-0.0711703563941497,-0.07908172389033385,0.03424774522469842,0.11612381856217335
-0.1599086747278958,0.35252009558474984,1.286574200322949,-0.33777278739023275,-1.2603614583737357,-0.023282754545452505,-1.4634036318881285,0.7543929988579714,1.1999785056183814,0.014092263038237324,-0.006646684583783258,-0.05813752874575684,0.05003462500268396,0.05981074024240485,0.0014526694726200544,-0.09548112272973297,-0.008067130138558753,0.11548191769671079
-0.1421178235798184,0.34442979670459895,1.2208380195168596,-0.28138915987572294,-1.1913111095394853,-0.020823723487828755,-1.5718382081726747,0.7447977416839835,1.3310408574581796,-0.08057492316207807,0.004320577751829868,-0.006217562463438631,0.0631565495975582,-0.020856849731839322,-0.09852512225922491,0.10321242820130316,-0.04783665246172719,0.012175860101874658
-0.23478521647347464,0.3487726366846125,1.2138001793562585,-0.20954081795839366,-1.2158789273728685,-0.13371720856427755,-1.4526915202333472,0.6901343958848183,1.3438278681337261,-0.005440644734033689,-0.03092598109688177,0.04678186420408159,0.1118622173439009,-0.04144001336688952,0.08381110614234452,0.10721539940377034,-0.11125100014201972,0.009035340935110048
-0.2393213104716053,0.31366705213874163,1.2670336583637822,-0.08209444791330442,-1.2630557705636885,-0.03668161520416944,-1.331103143578731,0.5632496197077442,1.3541287135513957,-0.11973823599207026,0.0021599238352096317,-0.11055662830932156,0.03360940312637648,-0.013791563514233385,-0.11048636072139187,-0.057946889823086156,-0.04286614106387432,0.10269449635466765
