x,y,z,q1,q2,q3,q4,dx,dy,dz,dq1,dq2,dq3,dq4
-0.5421429877366535,-0.09342155188490815,0.46498293213588093,-2.970949474395897,0.47376559392795137,-0.7331025730955774,-1.3341005441191753,0.025404395239320476,-0.05682085831366708,0.00861100339094334,0.11230710759510787,-1.1730330491788177e-05,-0.031062400358044973,-0.0005090311088331578
-0.5125678155096344,-0.15839583476603603,0.47478245611119796,-2.8418775197035546,0.4737551171163298,-0.7685550328104891,-1.3344716278006337,0.034403698247903125,-0.04285022323726306,0.011758465226777703,0.09865417267383014,-3.2501118238936755e-06,-0.04509085185140482,2.4583884585149818e-05
-0.473217249404563,-0.20648489321689545,0.488097967890442,-2.7301539961444634,0.47375269770203776,-0.819862013056772,-1.3344537061499517,0.04692752094742969,-0.0211762452063452,0.018788118104231977,0.07907848532798756,-3.1103578799762666e-06,-0.08064460023896514,-1.8816247571162847e-06
-0.41874238521200374,-0.23008712743567555,0.5096719840836494,-2.6391550695668036,0.4737501346204612,-0.9135517457296681,-1.334455077861047,0.0485227354818627,0.009147690029737143,0.02026701347903548,0.0356104170987388,-1.471817381026863e-06,-0.10797977268863568,9.0859822110545e-08
-0.36369320385583714,-0.21916216193341606,0.532304241525313,-2.5992622958486398,0.4737486773248426,-1.0362296173435082,-1.3344550116305804,0.031289317778844805,-0.01972040399803701,0.00513453709387246,0.08080405027479287,-4.5885931287958925e-06,-0.034209430203822055,-6.9790087042775895e-09
-0.327738356506485,-0.24221112339936984,0.5380080057711335,-2.5051441708175943,0.4737451918407519,-1.0744658091007102,-1.3344550167286076,0.040552583742480164,0.005016455529118835,0.009487321276931082,0.053903272680651426,-7.855687569335856e-07,-0.07706633959801445,3.150675276231141e-10
-0.2817213736078182,-0.23593800281440622,0.5486162367751217,-2.444408004507912,0.47374460633868176,-1.162414127332075,-1.334455016507955,0.04469609672703104,0.019979249809035676,0.007773236842035125,0.04174089170793849,-9.491110038450934e-07,-0.1007282607240807,-4.635158923349536e-11
-0.23106511351219572,-0.21288683762357924,0.5570860733872217,-2.397118123311443,0.4737439019530513,-1.27694885620788,-1.334455016554327,0.04283260020347557,0.029118206997109625,0.002355849476643024,0.028924561288965034,-5.489509308231888e-07,-0.10863065059330568,-2.9866553674651186e-11
-0.18258495234128144,-0.17960973233354088,0.559333298400185,-2.3644087274988603,0.4737434892438437,-1.4003155802251426,-1.3344550165891784,0.04459292710187682,0.015290162407314956,-0.0027944853033177175,0.09508251612219132,-3.7261344567052213e-06,-0.08836706660566729,-3.449929231180704e-11
-0.1322860707850663,-0.16191849021991356,0.5558920730805507,-2.2558125595590033,0.4737407605548456,-1.5004100076425821,-1.334455016628736,0.031402406917789644,0.02244162685080603,-0.006070166823977652,0.0588230096473108,-5.541434411338031e-07,-0.07946570066125624,-3.7140068798180437e-11
